"cate_rmse","cate_coverage","cate_interval_length","ate_rmse","ate_coverage","ate_interval_length","gamma1_sig","gamma2_sig","gamma3_sig","gamma4_sig","gamma5_sig"
2.71868152504059,0.308,2.83207077199611,1.86511562037178,0,1.63154567829687,0,0,0,1,1
3.14748574934354,0.284,2.73317742632996,2.40612625065511,0,1.49535942847309,0,0,0,1,1
4.17274852057433,0.284,2.86015796403645,3.3321352071468,0,1.59407257814974,0,0,0,0,1
4.08095076234321,0.24,2.79673203003977,3.2094146751043,0,1.53835087412316,0,0,0,1,1
2.97773324449324,0.156,2.4789221059088,2.28712409462414,0,1.38938718731577,0,0,0,1,1
3.5296783935655,0.212,2.59688625278845,2.70730436370614,0,1.5193388320787,0,0,0,1,1
3.84621439574973,0.256,2.78137730628127,3.06297181155792,0,1.37740376701745,0,1,0,0,1
3.78127410467409,0.216,2.60189034831691,3.0605762602264,0,1.38438389385732,0,0,1,0,1
3.36791858149132,0.26,2.70619250611074,2.6565892929807,0,1.54441414979329,0,0,0,1,1
3.57681317208687,0.144,2.6587904059631,2.81883479675251,0,1.4854012502217,0,0,0,1,1
3.53718793672976,0.312,2.76757547631216,2.77028522181052,0,1.36978904959895,0,0,0,0,1
3.73546902850632,0.196,2.5972521336641,2.96190278276288,0,1.38226044269732,0,0,0,1,1
3.48181378700545,0.34,2.67944635557742,2.69031623406081,0,1.54701636046653,0,0,0,0,1
3.87168818165283,0.16,2.54356430897386,3.06924634525031,0,1.45667853812652,0,0,0,1,1
3.56411829100658,0.308,2.73267041319127,2.7175954198417,0,1.49621754302024,0,0,0,1,1
3.71482963652591,0.28,2.77811762025478,2.95465844342934,0,1.53153432896471,0,0,0,1,1
3.90353471232793,0.152,2.79737533491752,3.17839797769698,0,1.57832419483833,0,0,0,1,1
3.3287536229188,0.392,2.90010153661924,2.52174927769707,0,1.4610286964808,0,0,0,1,1
3.45660234539199,0.332,2.52501009315789,2.65757945586846,0,1.56194980413745,0,0,0,0,1
3.57177846995147,0.152,2.66252930376208,2.89208116366243,0,1.52146873733562,0,0,0,1,1
4.10777594652623,0.32,2.52069284429633,3.34858844521319,0,1.43455335697951,0,0,0,0,1
3.64685464316424,0.232,2.78075740790067,2.82475270180593,0,1.48785162048348,0,0,0,1,1
3.59314880323763,0.22,2.60489403073716,2.8226068288425,0,1.48344293693291,0,0,0,1,1
3.6036870240405,0.156,2.66352137282525,2.80147343201975,0,1.43803459994659,0,0,0,1,1
3.93589551835744,0.14,2.55937192480699,3.24348616786135,0,1.4255758122253,0,0,0,1,1
3.40065863224151,0.18,2.57390116784172,2.70898846764151,0,1.49314954440299,0,0,0,1,1
3.95326447346868,0.18,2.68335169783089,3.14988665601366,0,1.50435617761515,0,0,0,1,1
3.18105606908449,0.356,3.1823257479425,2.381445722354,0,1.83780474074634,0,0,0,0,1
3.50102438176754,0.144,2.6608656015967,2.78304995128339,0,1.5229080596532,0,0,0,1,1
4.32899636932273,0.276,2.50451640410215,3.59942544962518,0,1.51143370780206,0,0,0,0,1
3.41998646124009,0.228,2.73456302415426,2.69043602284812,0,1.51004136978616,0,0,0,1,1
3.22701884835068,0.22,2.57947997218705,2.46448061197649,0,1.50034179298763,0,0,0,1,1
3.27844633262021,0.128,2.46148521704613,2.49817868265987,0,1.47219503708342,0,0,0,1,1
3.43233649285141,0.296,2.63599805307553,2.66774492159206,0,1.44712126399183,0,0,0,1,1
3.78431811245325,0.248,2.70387629957529,2.99159405803985,0,1.56968876603423,0,0,0,1,1
3.36687733286681,0.196,2.71013656843854,2.48157676681575,0,1.42263907124188,0,0,0,1,1
3.71119157948755,0.328,2.91155209511892,2.87524313110565,0,1.52360354572623,0,0,0,1,1
3.68250459511891,0.228,2.66353600419071,2.91714938218867,0,1.40301548191626,0,0,0,1,1
4.16154499658457,0.176,2.49979842164752,3.36783690443747,0,1.58706952785843,0,0,0,1,1
5.22373058816635,0.216,2.90736065681861,4.37706723319574,0,1.71600001691694,0,0,0,1,1
4.1565223973367,0.264,2.70127551385173,3.36409356981553,0,1.50999855907679,0,0,0,1,1
3.74087957286224,0.34,2.70400904131005,2.91891503015603,0,1.56480035138132,0,0,0,0,1
3.40131829478444,0.212,2.58819728970924,2.71678291530596,0,1.38403113926991,0,0,0,1,1
4.34979230958778,0.244,2.83886419270044,3.51143174445143,0,1.62920593616247,0,0,0,1,1
2.54153288997476,0.392,2.85596911188137,1.72263706970783,0,1.54731004104058,0,0,0,1,1
3.61539097530973,0.184,2.48102453478549,2.84173213720488,0,1.44253761167951,0,0,0,1,1
3.47907914135651,0.348,2.67225954019559,2.69904529041989,0,1.48146992486519,0,0,0,1,1
3.58643774212305,0.344,2.73244468325765,2.81275772202397,0,1.47109810702186,0,0,0,0,1
3.27415470510744,0.244,2.64535663685877,2.56409750455937,0,1.60015290840537,0,0,0,1,1
4.54496762350796,0.18,2.71049385237234,3.68666504686642,0,1.55573943473827,0,0,0,1,1
